Uniprot ID,Biological Process (GO),Cellular Component (GO),Gene,Protein,Selected CC,Top Enriched BP
P49189,carnitine biosynthetic process;cellular aldehyde metabolic process;cellular nitrogen compound metabolic process;hormone metabolic process;kidney development;liver development;neurotransmitter biosynthetic process;oxidation-reduction process;small molecule metabolic process,cytoplasm;cytosol;mitochondrion,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,mitochondrion,small molecule metabolic process
Q9H0U4,protein transport;small GTPase mediated signal transduction,golgi apparatus;mitochondrion,RAB1B,Ras-related protein Rab-1B,mitochondrion,small GTPase mediated signal transduction
P28799,blastocyst hatching;cell death;embryo implantation;positive regulation of epithelial cell proliferation;signal transduction,extracellular;mitochondrion,GRN,Granulins,extracellular,signal transduction
P01036,detection of chemical stimulus involved in sensory perception of bitter taste;negative regulation of endopeptidase activity;negative regulation of proteolysis;retina homeostasis,extracellular,CST4,Cystatin-S,extracellular,negative regulation of endopeptidase activity
P13489,mRNA catabolic process;negative regulation of catalytic activity;regulation of angiogenesis,extracellular;cytoplasm,RNH1,Ribonuclease inhibitor,extracellular,negative regulation of catalytic activity
P29401,carbohydrate metabolic process;energy reserve metabolic process;glyceraldehyde-3-phosphate biosynthetic process;pentose-phosphate shunt;pentose-phosphate shunt - non-oxidative branch;regulation of growth;small molecule metabolic process;xylulose biosynthetic process,cytosol;nucleus;peroxisome,TKT,Transketolase,peroxisome,small molecule metabolic process
P98095,extracellular matrix organization;positive regulation of cell-substrate adhesion,extracellular,FBLN2,Fibulin-2,extracellular,extracellular matrix organization
P01011,acute-phase response;inflammatory response;maintenance of gastrointestinal epithelium;negative regulation of endopeptidase activity;regulation of lipid metabolic process;regulation of proteolysis,extracellular;nucleus,SERPINA3,Alpha-1-antichymotrypsin,extracellular,negative regulation of endopeptidase activity
P53396,ATP catabolic process;cellular carbohydrate metabolic process;cellular lipid metabolic process;citrate metabolic process;coenzyme A metabolic process;energy reserve metabolic process;lipid biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;positive regulation of cellular metabolic process;small molecule metabolic process;triglyceride biosynthetic process,cytoplasm;cytosol;mitochondrion;nucleus;plasma membrane,ACLY,ATP-citrate synthase,plasma membrane,small molecule metabolic process
Q13885,_de novo_ posttranslational protein folding;cellular protein metabolic process;microtubule-based process;protein folding;protein polymerization,cytoplasm;nucleus,TUBB2A,Tubulin beta-2A chain,cytoplasm,cellular protein metabolic process
P08133,calcium ion transport;ion transmembrane transport;protein homooligomerization;regulation of muscle contraction,endosome;lysosome;cytoplasm,ANXA6,Annexin A6,endosome,protein homooligomerization
P78371,_de novo_ posttranslational protein folding;binding of sperm to zona pellucida;cellular protein metabolic process;chaperone-mediated protein complex assembly;protein folding,cytosol;cytoplasm,CCT2,T-complex protein 1 subunit beta,cytosol,cellular protein metabolic process
P06744,aldehyde catabolic process;angiogenesis;carbohydrate metabolic process;gluconeogenesis;glucose 6-phosphate metabolic process;glucose metabolic process;glycolysis;hemostasis;humoral immune response;learning or memory;methylglyoxal biosynthetic process;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;negative regulation of neuron apoptotic process;small molecule metabolic process,cytoplasm;cytosol;extracellular;nucleus;plasma membrane,GPI,Glucose-6-phosphate isomerase,extracellular,small molecule metabolic process
P13929,aging;carbohydrate metabolic process;gluconeogenesis;glucose metabolic process;glycolysis;response to drug;skeletal muscle tissue regeneration;small molecule metabolic process,cytoplasm;cytosol;extracellular;plasma membrane,ENO3,Beta-enolase,extracellular,small molecule metabolic process
P0C0L4,complement activation;complement activation - classical pathway;inflammatory response;innate immune response;positive regulation of apoptotic cell clearance;regulation of complement activation,extracellular;plasma membrane,C4A,Complement C4-A,extracellular,innate immune response
Q9BVA1,_de novo_ posttranslational protein folding;cellular protein metabolic process;microtubule-based process;neuron migration;protein folding;protein polymerization,cytoplasm;nucleus,TUBB2B,Tubulin beta-2B chain,cytoplasm,cellular protein metabolic process
P84095,actin cytoskeleton organization;activation of Rac GTPase activity;axon guidance;blood coagulation;cell chemotaxis;GTP catabolic process;platelet activation;positive regulation of cell proliferation;positive regulation of establishment of protein localization to plasma membrane;positive regulation of transcription - DNA-dependent;Rac protein signal transduction;regulation of small GTPase mediated signal transduction;Rho protein signal transduction;small GTPase mediated signal transduction,cytosol;plasma membrane,RHOG,Rho-related GTP-binding protein RhoG,plasma membrane,blood coagulation
Q8WUM4,apoptotic process;cell cycle;cell division;protein transport;viral infectious cycle;viral process,cytoplasm;cytosol;plasma membrane;microtubule organising centre,PDCD6IP,Programmed cell death 6-interacting protein,plasma membrane,viral process
Q02543,cellular protein metabolic process;gene expression;mRNA metabolic process;nuclear-transcribed mRNA catabolic process - nonsense-mediated decay;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;viral infectious cycle;viral process;viral transcription,cytosol,RPL18A,60S ribosomal protein L18a,cytosol,cellular protein metabolic process
P54578,negative regulation of endopeptidase activity;protein deubiquitination;regulation of chemotaxis;regulation of proteasomal protein catabolic process;synaptic transmission;ubiquitin-dependent protein catabolic process,cytoplasm;plasma membrane,USP14,Ubiquitin carboxyl-terminal hydrolase 14,plasma membrane,negative regulation of endopeptidase activity
Q71UI9,nucleosome assembly,nucleus,H2AFV,Histone H2A.V,nucleus,nucleosome assembly
P47756,actin cytoskeleton organization;barbed-end actin filament capping;blood coagulation;cellular component movement;cytoskeleton organization;lamellipodium assembly;muscle fiber development;negative regulation of microtubule polymerization;neuron projection development;regulation of cell morphogenesis;regulation of protein kinase C signaling cascade,cytoplasm;cytosol,CAPZB,F-actin-capping protein subunit beta,cytosol,blood coagulation
Q14764,cell proliferation;ERBB signaling pathway;mRNA transport;negative regulation of protein autophosphorylation;negative regulation of protein tyrosine kinase activity;negative regulation of signaling;protein activation cascade;protein transport,cytoplasm;nucleus,MVP,Major vault protein,cytoplasm,protein transport
P07602,blood coagulation;cellular response to organic substance;epithelial cell differentiation involved in prostate gland development;glycosphingolipid metabolic process;lipid transport;platelet activation;platelet degranulation;positive regulation of catalytic activity;prostate gland growth;regulation of lipid metabolic process;regulation of MAPK cascade;small molecule metabolic process;sphingolipid metabolic process,extracellular;lysosome;mitochondrion,PSAP,Prosaposin,extracellular,small molecule metabolic process
P12268,GMP biosynthetic process;nucleobase-containing small molecule metabolic process;purine nucleobase metabolic process;purine ribonucleoside monophosphate biosynthetic process;small molecule metabolic process,cytoplasm;cytosol;nucleus;peroxisome,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,nucleus,small molecule metabolic process
P40227,_de novo_ posttranslational protein folding;binding of sperm to zona pellucida;cellular protein metabolic process;protein folding,cytosol;cytoplasm,CCT6A,T-complex protein 1 subunit zeta,cytosol,cellular protein metabolic process
Q96CN7,NOTDEFINED,peroxisome,ISOC1,Isochorismatase domain-containing protein 1,peroxisome,
Q92484,sphingomyelin catabolic process,extracellular,SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a,extracellular,sphingomyelin catabolic process
P49221,mating plug formation;peptide cross-linking,cytoplasm;extracellular;golgi apparatus,TGM4,Protein-glutamine gamma-glutamyltransferase 4,extracellular,peptide cross-linking
P15309,adenosine metabolic process;dephosphorylation;nucleotide metabolic process;positive regulation of adenosine receptor signaling pathway;purine nucleobase metabolic process;regulation of sensory perception of pain;thiamine metabolic process,extracellular;golgi apparatus;lysosome;endosome;nucleus;plasma membrane,ACPP,Prostatic acid phosphatase,extracellular,purine nucleobase metabolic process
